Number of runs for each test case: 10
Graph size: 16
-----------------------------------------
Threads   Average execution time
1         0.43630   
2         0.26440   
3         0.21600   
4         0.16030   
6         0.15310   
8         0.13240   
10        0.14290   
12        0.15070   
16        0.16230   
24        0.17870   
32        0.16350   
48        0.14660   
64        0.15630   
92        0.17830   
128       0.20530   
256       0.34840   
