Number of runs for each test case: 3
Graph size: 21
-----------------------------------------
Threads   Average execution time
1         37.50167  
2         23.29333  
3         18.12600  
4         15.09933  
6         13.88900  
8         12.12667  
10        12.03500  
12        11.75333  
16        11.50100  
24        11.48900  
32        11.05167  
48        11.13067  
64        11.40900  
92        11.20733  
128       11.42233  
256       11.82733  
