Number of runs for each test case: 5
Graph size: 20
-----------------------------------------
Threads   Average execution time
1         15.70660  
2         9.36520   
3         7.50840   
4         5.95920   
6         5.50420   
8         4.71220   
10        4.46840   
12        4.50440   
16        4.43640   
24        4.46220   
32        3.96080   
48        4.14120   
64        4.18200   
92        4.36440   
128       4.25020   
256       4.43360   
