Number of runs for each test case: 8
Graph size: 18
-----------------------------------------
Threads   Average execution time
1         2.65600   
2         1.65675   
3         1.35663   
4         1.13850   
6         0.95775   
8         0.93200   
10        0.90888   
12        0.85700   
16        0.80713   
24        0.74488   
32        0.74538   
48        0.75525   
64        0.76400   
92        0.78050   
128       0.81425   
256       0.96513   
