Number of runs for each test case: 10
Graph size: 15
-----------------------------------------
Threads   Average execution time
1         0.17540   
2         0.09990   
3         0.08220   
4         0.06350   
6         0.06450   
8         0.06250   
10        0.05960   
12        0.05950   
16        0.05710   
24        0.06430   
32        0.06610   
48        0.07950   
64        0.09140   
92        0.11810   
128       0.15130   
256       0.27820   
