Number of runs for each test case: 6
Graph size: 19
-----------------------------------------
Threads   Average execution time
1         6.82333   
2         3.88017   
3         3.24200   
4         2.67783   
6         2.31617   
8         1.96550   
10        2.00983   
12        1.89700   
16        1.85817   
24        1.80750   
32        1.73983   
48        1.82067   
64        1.78517   
92        1.88767   
128       1.84267   
256       2.07983   
