Number of runs for each test case: 3
Graph size: 22
-----------------------------------------
Threads   Average execution time
1         93.88600  
2         57.36200  
3         44.29400  
4         35.68467  
6         30.59867  
8         27.34800  
10        26.65033  
12        27.23633  
16        26.18600  
24        25.27333  
32        24.08600  
48        23.25400  
64        24.26000  
92        24.61167  
128       24.75233  
256       25.29700  
