Number of runs for each test case: 5
Set size: 24
-----------------------------------------
Threads   Average execution time
1         2.36640   
2         1.13880   
3         0.83360   
4         0.69620   
6         0.58760   
8         0.52400   
10        0.54480   
12        0.56520   
16        0.55280   
24        0.57500   
32        0.56580   
48        0.53860   
64        0.54040   
92        0.54060   
128       0.54040   
256       0.54540   
