Number of runs for each test case: 3
Set size: 27
-----------------------------------------
Threads   Average execution time
1         24.04133  
2         10.89167  
3         7.82767   
4         6.75600   
6         5.33267   
8         5.16033   
10        5.32600   
12        5.29633   
16        5.25133   
24        5.29967   
32        5.28700   
48        5.10567   
64        5.02367   
92        5.01900   
128       5.18867   
256       5.31733   
