Number of runs for each test case: 5
Set size: 23
-----------------------------------------
Threads   Average execution time
1         1.15700   
2         0.54140   
3         0.38780   
4         0.32920   
6         0.29200   
8         0.25540   
10        0.25340   
12        0.24900   
16        0.24980   
24        0.24780   
32        0.27780   
48        0.31420   
64        0.31960   
92        0.30300   
128       0.28800   
256       0.30880   
