Number of runs for each test case: 5
Set size: 17
-----------------------------------------
Threads   Average execution time
1         0.00960   
2         0.00340   
3         0.00320   
4         0.00320   
6         0.00200   
8         0.00280   
10        0.00280   
12        0.00320   
16        0.00340   
24        0.00440   
32        0.00440   
48        0.00660   
64        0.00920   
92        0.00940   
128       0.01100   
256       0.02080   
