Number of runs for each test case: 5
Set size: 26
-----------------------------------------
Threads   Average execution time
1         10.82720  
2         5.25080   
3         3.86480   
4         3.11540   
6         2.70360   
8         2.76940   
10        2.54860   
12        2.54760   
16        2.49560   
24        2.49740   
32        2.54960   
48        2.55020   
64        2.50280   
92        2.53440   
128       2.56840   
256       2.53180   
