Number of runs for each test case: 5
Set size: 19
-----------------------------------------
Threads   Average execution time
1         0.06220   
2         0.03000   
3         0.02320   
4         0.02140   
6         0.02060   
8         0.02140   
10        0.01940   
12        0.02100   
16        0.01840   
24        0.01520   
32        0.01560   
48        0.01640   
64        0.01700   
92        0.01780   
128       0.01760   
256       0.02460   
