Number of runs for each test case: 5
Set size: 20
-----------------------------------------
Threads   Average execution time
1         0.13080   
2         0.07440   
3         0.05040   
4         0.03880   
6         0.03020   
8         0.02500   
10        0.03580   
12        0.02940   
16        0.02600   
24        0.02560   
32        0.02760   
48        0.02780   
64        0.02740   
92        0.02880   
128       0.03080   
256       0.03880   
