Number of runs for each test case: 5
Set size: 25
-----------------------------------------
Threads   Average execution time
1         5.11220   
2         2.41160   
3         1.79960   
4         1.60140   
6         1.34980   
8         1.22200   
10        1.22600   
12        1.17280   
16        1.15920   
24        1.16340   
32        1.16020   
48        1.16060   
64        1.15640   
92        1.16820   
128       1.19280   
256       1.19320   
