Number of runs for each test case: 5
Set size: 22
-----------------------------------------
Threads   Average execution time
1         0.53860
2         0.24740
3         0.19080
4         0.16980
6         0.13160
8         0.12040
10        0.12440
12        0.11560
16        0.11400
24        0.11540
32        0.11680
48        0.11760
64        0.11580
92        0.11640
128       0.11940
256       0.12640
