Number of runs for each test case: 5
Set size: 24
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         2.36640                  1.00000   
2         1.13880                  2.07798   
3         0.83360                  2.83877   
4         0.69620                  3.39902   
6         0.58760                  4.02723   
8         0.52400                  4.51603   
10        0.54480                  4.34361   
12        0.56520                  4.18684   
16        0.55280                  4.28075   
24        0.57500                  4.11548   
32        0.56580                  4.18240   
48        0.53860                  4.39361   
64        0.54040                  4.37898   
92        0.54060                  4.37736   
128       0.54040                  4.37898   
256       0.54540                  4.33883   
