Number of runs for each test case: 5
Set size: 18
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         0.03060                  1.00000   
2         0.01500                  2.04000   
3         0.01380                  2.21739   
4         0.01000                  3.06000   
6         0.00760                  4.02632   
8         0.00800                  3.82500   
10        0.00800                  3.82500   
12        0.00880                  3.47727   
16        0.00860                  3.55814   
24        0.00800                  3.82500   
32        0.00800                  3.82500   
48        0.01100                  2.78182   
64        0.01160                  2.63793   
92        0.01180                  2.59322   
128       0.02020                  1.51485   
256       0.03060                  1.00000   
