Number of runs for each test case: 3
Set size: 27
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         24.04133                 1.00000   
2         10.89167                 2.20731   
3         7.82767                  3.07133   
4         6.75600                  3.55852   
6         5.33267                  4.50831   
8         5.16033                  4.65887   
10        5.32600                  4.51396   
12        5.29633                  4.53924   
16        5.25133                  4.57814   
24        5.29967                  4.53638   
32        5.28700                  4.54725   
48        5.10567                  4.70875   
64        5.02367                  4.78561   
92        5.01900                  4.79006   
128       5.18867                  4.63343   
256       5.31733                  4.52132   
