Number of runs for each test case: 5
Set size: 22
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         0.53860                  1.00000   
2         0.24740                  2.17704   
3         0.19080                  2.82285   
4         0.16980                  3.17197   
6         0.13160                  4.09271   
8         0.12040                  4.47342   
10        0.12440                  4.32958   
12        0.11560                  4.65917   
16        0.11400                  4.72456   
24        0.11540                  4.66724   
32        0.11680                  4.61130   
48        0.11760                  4.57993   
64        0.11580                  4.65112   
92        0.11640                  4.62715   
128       0.11940                  4.51089   
256       0.12640                  4.26108   
