Number of runs for each test case: 5
Set size: 26
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         10.82720                 1.00000   
2         5.25080                  2.06201   
3         3.86480                  2.80149   
4         3.11540                  3.47538   
6         2.70360                  4.00473   
8         2.76940                  3.90958   
10        2.54860                  4.24829   
12        2.54760                  4.24996   
16        2.49560                  4.33852   
24        2.49740                  4.33539   
32        2.54960                  4.24663   
48        2.55020                  4.24563   
64        2.50280                  4.32603   
92        2.53440                  4.27210   
128       2.56840                  4.21554   
256       2.53180                  4.27648   
