Number of runs for each test case: 5
Set size: 21
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         0.27760                  1.00000   
2         0.12400                  2.23871   
3         0.09120                  3.04386   
4         0.07940                  3.49622   
6         0.05960                  4.65772   
8         0.05320                  5.21805   
10        0.06980                  3.97708   
12        0.05980                  4.64214   
16        0.05480                  5.06569   
24        0.05440                  5.10294   
32        0.05440                  5.10294   
48        0.05660                  4.90459   
64        0.05600                  4.95714   
92        0.05680                  4.88732   
128       0.05980                  4.64214   
256       0.06580                  4.21884   
