Number of runs for each test case: 5
Set size: 20
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         0.13080                  1.00000   
2         0.07440                  1.75806   
3         0.05040                  2.59524   
4         0.03880                  3.37113   
6         0.03020                  4.33113   
8         0.02500                  5.23200   
10        0.03580                  3.65363   
12        0.02940                  4.44898   
16        0.02600                  5.03077   
24        0.02560                  5.10938   
32        0.02760                  4.73913   
48        0.02780                  4.70504   
64        0.02740                  4.77372   
92        0.02880                  4.54167   
128       0.03080                  4.24675   
256       0.03880                  3.37113   
