Number of runs for each test case: 5
Set size: 23
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         1.15700                  1.00000   
2         0.54140                  2.13705   
3         0.38780                  2.98350   
4         0.32920                  3.51458   
6         0.29200                  3.96233   
8         0.25540                  4.53015   
10        0.25340                  4.56590   
12        0.24900                  4.64659   
16        0.24980                  4.63171   
24        0.24780                  4.66909   
32        0.27780                  4.16487   
48        0.31420                  3.68237   
64        0.31960                  3.62015   
92        0.30300                  3.81848   
128       0.28800                  4.01736   
256       0.30880                  3.74676   
