Number of runs for each test case: 5
Set size: 25
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         5.11220                  1.00000   
2         2.41160                  2.11984   
3         1.79960                  2.84074   
4         1.60140                  3.19233   
6         1.34980                  3.78738   
8         1.22200                  4.18347   
10        1.22600                  4.16982   
12        1.17280                  4.35897   
16        1.15920                  4.41011   
24        1.16340                  4.39419   
32        1.16020                  4.40631   
48        1.16060                  4.40479   
64        1.15640                  4.42079   
92        1.16820                  4.37613   
128       1.19280                  4.28588   
256       1.19320                  4.28445   
